Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
53	wheeler231	1546740967.129	    61.680	0	0	0	0	./wrapper1.sh \[-4.8,-4.8,53\] > conn.log
54	wheeler246	1546740967.551	    62.861	0	0	0	0	./wrapper1.sh \[-4.8,-4.6,54\] > conn.log
59	wheeler238	1546740970.773	    59.877	0	0	0	0	./wrapper1.sh \[-4.8,-3.6,59\] > conn.log
60	wheeler233	1546740971.303	    61.842	0	0	0	0	./wrapper1.sh \[-4.8,-3.4,60\] > conn.log
62	wheeler235	1546741027.143	    59.531	0	0	0	0	./wrapper1.sh \[-4.8,-3.0,62\] > conn.log
61	wheeler237	1546741026.810	    60.427	0	0	0	0	./wrapper1.sh \[-4.8,-3.2,61\] > conn.log
64	wheeler232	1546741027.996	    59.608	0	0	0	0	./wrapper1.sh \[-4.8,-2.6,64\] > conn.log
65	wheeler228	1546741028.695	    59.163	0	0	0	0	./wrapper1.sh \[-4.8,-2.4,65\] > conn.log
67	wheeler231	1546741028.821	    60.592	0	0	0	0	./wrapper1.sh \[-4.8,-2.0,67\] > conn.log
66	wheeler230	1546741028.721	    60.804	0	0	0	0	./wrapper1.sh \[-4.8,-2.2,66\] > conn.log
57	wheeler236	1546740968.381	   121.572	0	0	0	0	./wrapper1.sh \[-4.8,-4.0,57\] > conn.log
68	wheeler246	1546741030.426	    59.693	0	0	0	0	./wrapper1.sh \[-4.8,-1.8,68\] > conn.log
70	wheeler233	1546741033.158	    59.549	0	0	0	0	./wrapper1.sh \[-4.8,-1.4,70\] > conn.log
63	wheeler239	1546741027.483	    78.743	0	0	0	0	./wrapper1.sh \[-4.8,-2.8,63\] > conn.log
71	wheeler235	1546741086.688	    60.406	0	0	0	0	./wrapper1.sh \[-4.8,-1.2,71\] > conn.log
72	wheeler237	1546741087.249	    60.266	0	0	0	0	./wrapper1.sh \[-4.8,-1.0,72\] > conn.log
73	wheeler232	1546741087.617	    60.152	0	0	0	0	./wrapper1.sh \[-4.8,-0.8,73\] > conn.log
74	wheeler228	1546741087.870	    60.374	0	0	0	0	./wrapper1.sh \[-4.8,-0.6,74\] > conn.log
75	wheeler231	1546741089.427	    60.835	0	0	0	0	./wrapper1.sh \[-4.8,-0.4,75\] > conn.log
77	wheeler236	1546741089.965	    61.644	0	0	0	0	./wrapper1.sh \[-4.8,0.0,77\] > conn.log
78	wheeler246	1546741090.132	    61.568	0	0	0	0	./wrapper1.sh \[-4.8,0.2,78\] > conn.log
69	wheeler238	1546741030.661	   121.083	0	0	0	0	./wrapper1.sh \[-4.8,-1.6,69\] > conn.log
79	wheeler233	1546741092.719	    59.306	0	0	0	0	./wrapper1.sh \[-4.8,0.4,79\] > conn.log
80	wheeler239	1546741106.238	    60.090	0	0	0	0	./wrapper1.sh \[-4.8,0.6,80\] > conn.log
84	wheeler228	1546741148.256	    58.986	0	0	0	0	./wrapper1.sh \[-4.8,1.4,84\] > conn.log
81	wheeler235	1546741147.110	    60.518	0	0	0	0	./wrapper1.sh \[-4.8,0.8,81\] > conn.log
83	wheeler232	1546741147.783	    60.407	0	0	0	0	./wrapper1.sh \[-4.8,1.2,83\] > conn.log
